ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,CINEMA91,VSWAMY.TXT,0.50617,0.50617,0.50617,1
ROUGE-2,CINEMA90,VSWAMY.TXT,0.54545,0.62069,0.58065,1
ROUGE-2,CINEMA93,VSWAMY.TXT,0.70833,0.70833,0.70833,1
ROUGE-2,CINEMA18,VSWAMY.TXT,0.72289,0.68966,0.70588,1
ROUGE-2,CINEMA92,VSWAMY.TXT,0.35849,0.21348,0.26761,1
ROUGE-2,CINEMA19,VSWAMY.TXT,0.60714,0.60177,0.60444,1
ROUGE-2,CINEMA95,VSWAMY.TXT,0.76471,0.74286,0.75362,1
ROUGE-2,CINEMA94,VSWAMY.TXT,0.69333,0.69333,0.69333,1
ROUGE-2,CINEMA97,VSWAMY.TXT,0.83529,0.85542,0.84524,1
ROUGE-2,CINEMA96,VSWAMY.TXT,0.76000,0.77027,0.76510,1
ROUGE-2,CINEMA12,VSWAMY.TXT,0.74444,0.75281,0.74860,1
ROUGE-2,CINEMA13,VSWAMY.TXT,0.46154,0.45000,0.45570,1
ROUGE-2,CINEMA10,VSWAMY.TXT,0.71014,0.72059,0.71533,1
ROUGE-2,CINEMA11,VSWAMY.TXT,0.54082,0.65432,0.59218,1
ROUGE-2,CINEMA16,VSWAMY.TXT,0.21277,0.30769,0.25157,1
ROUGE-2,CINEMA50,VSWAMY.TXT,0.61818,0.57627,0.59649,1
ROUGE-2,CINEMA17,VSWAMY.TXT,0.86239,0.83186,0.84685,1
ROUGE-2,CINEMA51,VSWAMY.TXT,0.52326,0.51136,0.51724,1
ROUGE-2,CINEMA14,VSWAMY.TXT,0.72727,0.76190,0.74419,1
ROUGE-2,CINEMA52,VSWAMY.TXT,0.74510,0.66087,0.70046,1
ROUGE-2,CINEMA53,VSWAMY.TXT,0.58000,0.40845,0.47934,1
ROUGE-2,CINEMA15,VSWAMY.TXT,0.54717,0.52727,0.53704,1
ROUGE-2,CINEMA55,VSWAMY.TXT,0.38318,0.49398,0.43158,1
ROUGE-2,CINEMA54,VSWAMY.TXT,0.48352,0.44000,0.46073,1
ROUGE-2,CINEMA57,VSWAMY.TXT,0.57937,0.53285,0.55513,1
ROUGE-2,CINEMA56,VSWAMY.TXT,0.43396,0.57500,0.49462,1
ROUGE-2,CINEMA59,VSWAMY.TXT,0.66250,0.76812,0.71141,1
ROUGE-2,CINEMA58,VSWAMY.TXT,0.68293,0.78873,0.73203,1
ROUGE-2,CINEMA98,VSWAMY.TXT,0.76389,0.79710,0.78014,1
ROUGE-2,CINEMA29,VSWAMY.TXT,0.43902,0.22930,0.30126,1
ROUGE-2,CINEMA21,VSWAMY.TXT,0.53704,0.43284,0.47934,1
ROUGE-2,CINEMA60,VSWAMY.TXT,0.55128,0.51807,0.53416,1
ROUGE-2,CINEMA22,VSWAMY.TXT,0.47222,0.39535,0.43038,1
ROUGE-2,CINEMA23,VSWAMY.TXT,0.47059,0.44944,0.45977,1
ROUGE-2,CINEMA24,VSWAMY.TXT,0.10145,0.11475,0.10769,1
ROUGE-2,CINEMA63,VSWAMY.TXT,0.67470,0.46667,0.55172,1
ROUGE-2,CINEMA25,VSWAMY.TXT,0.74699,0.65957,0.70056,1
ROUGE-2,CINEMA64,VSWAMY.TXT,0.85455,0.59494,0.70149,1
ROUGE-2,CINEMA26,VSWAMY.TXT,0.81319,0.77895,0.79570,1
ROUGE-2,CINEMA61,VSWAMY.TXT,0.44762,0.56627,0.50000,1
ROUGE-2,CINEMA27,VSWAMY.TXT,0.87023,0.65143,0.74510,1
ROUGE-2,CINEMA62,VSWAMY.TXT,0.39744,0.35632,0.37576,1
ROUGE-2,CINEMA28,VSWAMY.TXT,0.72000,0.72973,0.72483,1
ROUGE-2,CINEMA68,VSWAMY.TXT,0.08000,0.08696,0.08333,1
ROUGE-2,CINEMA67,VSWAMY.TXT,0.44037,0.45283,0.44651,1
ROUGE-2,CINEMA66,VSWAMY.TXT,0.34247,0.34247,0.34247,1
ROUGE-2,CINEMA65,VSWAMY.TXT,0.50602,0.42424,0.46154,1
ROUGE-2,CINEMA20,VSWAMY.TXT,0.20290,0.20290,0.20290,1
ROUGE-2,CINEMA69,VSWAMY.TXT,0.62921,0.59574,0.61202,1
ROUGE-2,CINEMA8,VSWAMY.TXT,0.71186,0.66667,0.68852,1
ROUGE-2,CINEMA73,VSWAMY.TXT,0.52066,0.56757,0.54310,1
ROUGE-2,CINEMA7,VSWAMY.TXT,0.81818,0.63281,0.71366,1
ROUGE-2,CINEMA72,VSWAMY.TXT,0.48913,0.47872,0.48387,1
