ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,SPORTS40,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS43,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS44,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS41,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS42,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS37,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS36,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS35,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS34,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS39,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS38,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS30,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS31,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS32,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS33,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS24,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS23,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS26,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS25,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS28,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS27,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS29,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS65,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS7,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS66,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS8,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS9,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS63,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS64,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS61,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS62,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS60,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS0,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS1,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS2,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS3,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS4,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS5,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS6,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS59,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS58,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS57,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS56,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS52,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS53,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS54,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS55,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS50,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS51,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS49,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS46,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS45,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS48,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS47,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS80,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS84,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS83,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS82,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS81,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS88,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS87,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS86,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS85,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS78,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS79,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS71,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS70,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS73,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS72,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS75,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS74,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS77,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS76,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS67,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS68,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS69,VSWAMY.TXT,1.00000,1.00000,1.00000,1
ROUGE-2,SPORTS11,VSWAMY.TXT,1.00000,1.00000,1.00000,1
