ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,STATE20,NITISH.TXT,0.27619,0.42029,0.33333,1
ROUGE-2,STATE26,NITISH.TXT,0.83740,0.88793,0.86192,1
ROUGE-2,STATE25,NITISH.TXT,0.60345,0.59322,0.59829,1
ROUGE-2,STATE28,NITISH.TXT,0.37288,0.33846,0.35484,1
ROUGE-2,STATE27,NITISH.TXT,0.50562,0.59211,0.54545,1
ROUGE-2,STATE22,NITISH.TXT,0.31068,0.47059,0.37427,1
ROUGE-2,STATE21,NITISH.TXT,0.29870,0.45098,0.35938,1
ROUGE-2,STATE24,NITISH.TXT,0.43226,0.55833,0.48727,1
ROUGE-2,STATE23,NITISH.TXT,0.32331,0.64179,0.43000,1
ROUGE-2,STATE29,NITISH.TXT,0.63710,0.75238,0.68996,1
ROUGE-2,STATE30,NITISH.TXT,0.10317,0.29545,0.15294,1
ROUGE-2,STATE31,NITISH.TXT,0.34091,0.61644,0.43902,1
ROUGE-2,STATE39,NITISH.TXT,0.42105,0.50000,0.45714,1
ROUGE-2,STATE38,NITISH.TXT,0.72269,0.74783,0.73504,1
ROUGE-2,STATE37,NITISH.TXT,0.19271,0.53623,0.28352,1
ROUGE-2,STATE36,NITISH.TXT,0.39506,0.59259,0.47407,1
ROUGE-2,STATE35,NITISH.TXT,0.49123,0.60870,0.54369,1
ROUGE-2,STATE34,NITISH.TXT,0.16393,0.34483,0.22222,1
ROUGE-2,STATE33,NITISH.TXT,0.34513,0.46429,0.39594,1
ROUGE-2,STATE32,NITISH.TXT,0.61616,0.76250,0.68156,1
ROUGE-2,STATE40,NITISH.TXT,0.25000,0.70213,0.36872,1
ROUGE-2,STATE41,NITISH.TXT,0.03774,0.12121,0.05755,1
ROUGE-2,STATE42,NITISH.TXT,0.29060,0.40000,0.33663,1
ROUGE-2,STATE44,NITISH.TXT,0.00000,0.00000,0.00000,1
ROUGE-2,STATE43,NITISH.TXT,0.50000,0.77215,0.60697,1
ROUGE-2,STATE46,NITISH.TXT,0.34127,0.54430,0.41951,1
ROUGE-2,STATE45,NITISH.TXT,0.50000,0.63115,0.55797,1
ROUGE-2,STATE48,NITISH.TXT,0.14465,0.28750,0.19247,1
ROUGE-2,STATE47,NITISH.TXT,0.54321,0.68750,0.60690,1
ROUGE-2,STATE49,NITISH.TXT,0.40860,0.73077,0.52414,1
ROUGE-2,STATE52,NITISH.TXT,0.59259,0.82051,0.68817,1
ROUGE-2,STATE53,NITISH.TXT,0.13077,0.70833,0.22078,1
ROUGE-2,STATE50,NITISH.TXT,0.24299,0.49057,0.32500,1
ROUGE-2,STATE51,NITISH.TXT,0.53333,0.82474,0.64777,1
ROUGE-2,STATE57,NITISH.TXT,0.63846,0.70339,0.66935,1
ROUGE-2,STATE56,NITISH.TXT,0.15254,0.23377,0.18462,1
ROUGE-2,STATE55,NITISH.TXT,0.29921,0.50000,0.37438,1
ROUGE-2,STATE54,NITISH.TXT,0.29091,0.45070,0.35359,1
ROUGE-2,STATE59,NITISH.TXT,0.35065,0.68354,0.46352,1
ROUGE-2,STATE58,NITISH.TXT,0.46809,0.66667,0.55000,1
ROUGE-2,STATE69,NITISH.TXT,0.45411,0.89524,0.60256,1
ROUGE-2,STATE67,NITISH.TXT,0.36842,0.59574,0.45528,1
ROUGE-2,STATE68,NITISH.TXT,0.26857,0.60256,0.37154,1
ROUGE-2,STATE65,NITISH.TXT,0.52439,0.79630,0.63235,1
ROUGE-2,STATE66,NITISH.TXT,0.43312,0.73118,0.54400,1
ROUGE-2,STATE64,NITISH.TXT,0.20455,0.32530,0.25116,1
ROUGE-2,STATE63,NITISH.TXT,0.07586,0.28571,0.11989,1
ROUGE-2,STATE62,NITISH.TXT,0.15385,0.53659,0.23913,1
ROUGE-2,STATE61,NITISH.TXT,0.15596,0.43590,0.22973,1
ROUGE-2,STATE60,NITISH.TXT,0.41204,0.71774,0.52353,1
ROUGE-2,STATE76,NITISH.TXT,0.40476,0.44156,0.42236,1
ROUGE-2,STATE77,NITISH.TXT,0.42478,0.85714,0.56805,1
ROUGE-2,STATE78,NITISH.TXT,0.54237,0.64000,0.58716,1
ROUGE-2,STATE79,NITISH.TXT,0.52941,0.71053,0.60674,1
ROUGE-2,STATE1,NITISH.TXT,0.62245,0.71765,0.66667,1
ROUGE-2,STATE73,NITISH.TXT,0.51765,0.78571,0.62411,1
ROUGE-2,STATE2,NITISH.TXT,0.26531,0.43820,0.33051,1
ROUGE-2,STATE72,NITISH.TXT,0.33019,0.46053,0.38462,1
ROUGE-2,STATE3,NITISH.TXT,0.38462,0.51948,0.44199,1
ROUGE-2,STATE75,NITISH.TXT,0.54412,0.69811,0.61157,1
ROUGE-2,STATE4,NITISH.TXT,0.33333,0.45055,0.38318,1
ROUGE-2,STATE74,NITISH.TXT,0.66667,0.85981,0.75102,1
ROUGE-2,STATE5,NITISH.TXT,0.23684,0.26471,0.25000,1
ROUGE-2,STATE6,NITISH.TXT,0.41304,0.51818,0.45968,1
ROUGE-2,STATE71,NITISH.TXT,0.49254,0.74157,0.59193,1
ROUGE-2,STATE7,NITISH.TXT,0.54839,0.58621,0.56667,1
ROUGE-2,STATE70,NITISH.TXT,0.01667,0.02817,0.02094,1
ROUGE-2,STATE8,NITISH.TXT,0.16827,0.68627,0.27027,1
ROUGE-2,STATE9,NITISH.TXT,0.69048,0.52727,0.59794,1
ROUGE-2,STATE0,NITISH.TXT,0.46154,0.54545,0.50000,1
ROUGE-2,STATE89,NITISH.TXT,0.39796,0.50649,0.44571,1
ROUGE-2,STATE87,NITISH.TXT,0.57759,0.78824,0.66667,1
ROUGE-2,STATE88,NITISH.TXT,0.68224,0.68868,0.68545,1
ROUGE-2,STATE82,NITISH.TXT,0.42424,0.44211,0.43299,1
ROUGE-2,STATE81,NITISH.TXT,0.16031,0.42857,0.23333,1
ROUGE-2,STATE80,NITISH.TXT,0.32075,0.69388,0.43871,1
ROUGE-2,STATE86,NITISH.TXT,0.39189,0.64444,0.48739,1
ROUGE-2,STATE85,NITISH.TXT,0.30857,0.45378,0.36735,1
ROUGE-2,STATE84,NITISH.TXT,0.31783,0.65079,0.42708,1
ROUGE-2,STATE83,NITISH.TXT,0.44286,0.79487,0.56881,1
ROUGE-2,STATE98,NITISH.TXT,0.59091,0.76471,0.66667,1
ROUGE-2,STATE99,NITISH.TXT,0.44578,0.97368,0.61157,1
ROUGE-2,STATE91,NITISH.TXT,0.39535,0.83607,0.53684,1
ROUGE-2,STATE90,NITISH.TXT,0.67769,0.94253,0.78846,1
ROUGE-2,STATE18,NITISH.TXT,0.64516,0.44944,0.52980,1
ROUGE-2,STATE93,NITISH.TXT,0.56731,0.68605,0.62105,1
ROUGE-2,STATE19,NITISH.TXT,0.21481,0.35366,0.26728,1
ROUGE-2,STATE92,NITISH.TXT,0.76596,0.72727,0.74611,1
ROUGE-2,STATE95,NITISH.TXT,0.68132,0.89855,0.77500,1
ROUGE-2,STATE94,NITISH.TXT,0.31897,0.56923,0.40884,1
ROUGE-2,STATE97,NITISH.TXT,0.56522,0.90278,0.69519,1
ROUGE-2,STATE96,NITISH.TXT,0.71795,0.70886,0.71338,1
ROUGE-2,STATE12,NITISH.TXT,0.32500,0.60000,0.42162,1
ROUGE-2,STATE13,NITISH.TXT,0.38372,0.46479,0.42038,1
ROUGE-2,STATE10,NITISH.TXT,0.56757,0.60000,0.58333,1
ROUGE-2,STATE11,NITISH.TXT,0.23977,0.39423,0.29818,1
ROUGE-2,STATE16,NITISH.TXT,0.33846,0.23913,0.28025,1
ROUGE-2,STATE17,NITISH.TXT,0.33333,0.39130,0.36000,1
ROUGE-2,STATE14,NITISH.TXT,0.58427,0.66667,0.62275,1
ROUGE-2,STATE15,NITISH.TXT,0.22500,0.25714,0.24000,1
