ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,CINEMA18,SYSTEMSTEMMER.TXT,0.64742,0.67901,0.66284,2
ROUGE-2,CINEMA19,SYSTEMSTEMMER.TXT,0.69825,0.70089,0.69957,2
ROUGE-2,CINEMA12,SYSTEMSTEMMER.TXT,0.60943,0.56771,0.58783,2
ROUGE-2,CINEMA10,SYSTEMSTEMMER.TXT,0.57587,0.56429,0.57002,2
ROUGE-2,CINEMA11,SYSTEMSTEMMER.TXT,0.66875,0.70349,0.68568,2
ROUGE-2,CINEMA17,SYSTEMSTEMMER.TXT,0.82910,0.73600,0.77978,2
ROUGE-2,CINEMA14,SYSTEMSTEMMER.TXT,0.71356,0.70769,0.71062,2
ROUGE-2,CINEMA15,SYSTEMSTEMMER.TXT,0.74503,0.71875,0.73165,2
ROUGE-2,STATE26,SYSTEMSTEMMER.TXT,0.17588,0.16935,0.17256,2
ROUGE-2,STATE25,SYSTEMSTEMMER.TXT,0.60695,0.32569,0.42391,2
ROUGE-2,STATE27,SYSTEMSTEMMER.TXT,0.55965,0.50000,0.52815,2
ROUGE-2,STATE29,SYSTEMSTEMMER.TXT,0.80472,0.72656,0.76365,2
ROUGE-2,CINEMA25,SYSTEMSTEMMER.TXT,0.79762,0.78022,0.78882,2
ROUGE-2,CINEMA26,SYSTEMSTEMMER.TXT,0.79607,0.78723,0.79163,2
ROUGE-2,CINEMA27,SYSTEMSTEMMER.TXT,0.75034,0.80357,0.77604,2
ROUGE-2,CINEMA28,SYSTEMSTEMMER.TXT,0.59009,0.60274,0.59635,2
ROUGE-2,STATE38,SYSTEMSTEMMER.TXT,0.61239,0.57200,0.59150,2
ROUGE-2,STATE35,SYSTEMSTEMMER.TXT,0.74628,0.62800,0.68205,2
ROUGE-2,STATE32,SYSTEMSTEMMER.TXT,0.58068,0.55263,0.56631,2
ROUGE-2,STATE43,SYSTEMSTEMMER.TXT,0.71358,0.50000,0.58800,2
ROUGE-2,STATE45,SYSTEMSTEMMER.TXT,0.26884,0.24825,0.25814,2
ROUGE-2,STATE47,SYSTEMSTEMMER.TXT,0.65577,0.39200,0.49068,2
ROUGE-2,STATE49,SYSTEMSTEMMER.TXT,0.78898,0.62366,0.69664,2
ROUGE-2,STATE52,SYSTEMSTEMMER.TXT,0.88010,0.68407,0.76980,2
ROUGE-2,STATE51,SYSTEMSTEMMER.TXT,0.59378,0.58846,0.59111,2
ROUGE-2,STATE57,SYSTEMSTEMMER.TXT,0.65847,0.58929,0.62196,2
