ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,CINEMA18,SYSTEM.TXT,0.46482,0.51974,0.49075,2
ROUGE-2,CINEMA19,SYSTEM.TXT,0.81771,0.74797,0.78129,2
ROUGE-2,CINEMA12,SYSTEM.TXT,0.60943,0.56771,0.58783,2
ROUGE-2,CINEMA10,SYSTEM.TXT,0.56287,0.55797,0.56041,2
ROUGE-2,CINEMA11,SYSTEM.TXT,0.66875,0.70349,0.68568,2
ROUGE-2,CINEMA17,SYSTEM.TXT,0.82910,0.73600,0.77978,2
ROUGE-2,CINEMA14,SYSTEM.TXT,0.71356,0.70769,0.71062,2
ROUGE-2,CINEMA15,SYSTEM.TXT,0.67753,0.63478,0.65546,2
ROUGE-2,STATE26,SYSTEM.TXT,0.12563,0.12712,0.12637,2
ROUGE-2,STATE25,SYSTEM.TXT,0.73627,0.39450,0.51373,2
ROUGE-2,STATE27,SYSTEM.TXT,0.55965,0.50000,0.52815,2
ROUGE-2,STATE29,SYSTEM.TXT,0.80472,0.72656,0.76365,2
ROUGE-2,CINEMA25,SYSTEM.TXT,0.79762,0.78022,0.78882,2
ROUGE-2,CINEMA26,SYSTEM.TXT,0.79607,0.78723,0.79163,2
ROUGE-2,CINEMA27,SYSTEM.TXT,0.67590,0.72028,0.69738,2
ROUGE-2,CINEMA28,SYSTEM.TXT,0.63829,0.63333,0.63580,2
ROUGE-2,STATE38,SYSTEM.TXT,0.71410,0.58803,0.64496,2
ROUGE-2,STATE35,SYSTEM.TXT,0.74628,0.62800,0.68205,2
ROUGE-2,STATE32,SYSTEM.TXT,0.61843,0.49123,0.54754,2
ROUGE-2,STATE43,SYSTEM.TXT,0.75457,0.49032,0.59440,2
ROUGE-2,STATE45,SYSTEM.TXT,0.38264,0.34314,0.36181,2
ROUGE-2,STATE47,SYSTEM.TXT,0.65577,0.39200,0.49068,2
ROUGE-2,STATE49,SYSTEM.TXT,0.50300,0.43750,0.46797,2
ROUGE-2,STATE52,SYSTEM.TXT,0.65646,0.56604,0.60790,2
ROUGE-2,STATE51,SYSTEM.TXT,0.59378,0.58846,0.59111,2
ROUGE-2,STATE57,SYSTEM.TXT,0.58924,0.50342,0.54296,2
ROUGE-2,STATE58,SYSTEM.TXT,0.55813,0.51852,0.53760,2
ROUGE-2,STATE18,SYSTEM.TXT,0.17416,0.16146,0.16757,2
ROUGE-2,STATE10,SYSTEM.TXT,0.48237,0.52525,0.50290,2
ROUGE-2,STATE14,SYSTEM.TXT,0.69857,0.60825,0.65029,2
ROUGE-2,CINEMA91,SYSTEM.TXT,0.72222,0.69643,0.70909,2
ROUGE-2,CINEMA90,SYSTEM.TXT,0.65535,0.65426,0.65480,2
ROUGE-2,CINEMA93,SYSTEM.TXT,0.72222,0.80000,0.75912,2
ROUGE-2,CINEMA95,SYSTEM.TXT,0.63887,0.67692,0.65734,2
ROUGE-2,CINEMA94,SYSTEM.TXT,0.72667,0.78986,0.75694,2
ROUGE-2,CINEMA97,SYSTEM.TXT,0.89369,0.93750,0.91507,2
ROUGE-2,CINEMA96,SYSTEM.TXT,0.76505,0.78082,0.77285,2
ROUGE-2,CINEMA98,SYSTEM.TXT,0.50845,0.36735,0.42653,2
ROUGE-2,CINEMA8,SYSTEM.TXT,0.59497,0.57937,0.58706,2
ROUGE-2,CINEMA73,SYSTEM.TXT,0.52956,0.57339,0.55061,2
ROUGE-2,CINEMA7,SYSTEM.TXT,0.64611,0.60081,0.62264,2
ROUGE-2,CINEMA74,SYSTEM.TXT,0.70635,0.69626,0.70127,2
ROUGE-2,CINEMA4,SYSTEM.TXT,0.59201,0.52500,0.55650,2
ROUGE-2,CINEMA71,SYSTEM.TXT,0.80217,0.75758,0.77924,2
ROUGE-2,CINEMA1,SYSTEM.TXT,0.61221,0.37586,0.46577,2
ROUGE-2,CINEMA70,SYSTEM.TXT,0.71601,0.70673,0.71134,2
ROUGE-2,CINEMA76,SYSTEM.TXT,0.69858,0.66807,0.68298,2
ROUGE-2,CINEMA77,SYSTEM.TXT,0.72411,0.76282,0.74296,2
ROUGE-2,CINEMA78,SYSTEM.TXT,0.66135,0.75352,0.70443,2
ROUGE-2,CINEMA85,SYSTEM.TXT,0.84683,0.84314,0.84498,2
ROUGE-2,CINEMA84,SYSTEM.TXT,0.76058,0.81875,0.78859,2
ROUGE-2,CINEMA82,SYSTEM.TXT,0.55913,0.62500,0.59023,2
ROUGE-2,CINEMA81,SYSTEM.TXT,0.76812,0.74648,0.75714,2
ROUGE-2,CINEMA80,SYSTEM.TXT,0.54310,0.54839,0.54573,2
ROUGE-2,CINEMA0,SYSTEM.TXT,0.32393,0.46154,0.38068,2
ROUGE-2,CINEMA88,SYSTEM.TXT,0.88176,0.91525,0.89820,2
ROUGE-2,STATE69,SYSTEM.TXT,0.87764,0.66262,0.75512,2
ROUGE-2,CINEMA50,SYSTEM.TXT,0.84253,0.75000,0.79358,2
ROUGE-2,CINEMA51,SYSTEM.TXT,0.59897,0.67532,0.63486,2
ROUGE-2,STATE65,SYSTEM.TXT,0.71816,0.51064,0.59687,2
ROUGE-2,CINEMA52,SYSTEM.TXT,0.61743,0.75843,0.68071,2
ROUGE-2,STATE66,SYSTEM.TXT,0.70314,0.60458,0.65014,2
ROUGE-2,CINEMA57,SYSTEM.TXT,0.63246,0.63462,0.63354,2
ROUGE-2,STATE60,SYSTEM.TXT,0.68384,0.79348,0.73459,2
ROUGE-2,CINEMA59,SYSTEM.TXT,0.67736,0.51000,0.58188,2
ROUGE-2,CINEMA58,SYSTEM.TXT,0.64660,0.59524,0.61986,2
ROUGE-2,CINEMA60,SYSTEM.TXT,0.70080,0.67262,0.68642,2
ROUGE-2,CINEMA63,SYSTEM.TXT,0.67254,0.65385,0.66306,2
ROUGE-2,STATE77,SYSTEM.TXT,0.78674,0.58929,0.67385,2
ROUGE-2,CINEMA64,SYSTEM.TXT,0.56145,0.55303,0.55721,2
ROUGE-2,STATE78,SYSTEM.TXT,0.71475,0.64050,0.67559,2
ROUGE-2,CINEMA61,SYSTEM.TXT,0.68439,0.64216,0.66260,2
ROUGE-2,STATE79,SYSTEM.TXT,0.73968,0.75000,0.74480,2
ROUGE-2,STATE73,SYSTEM.TXT,0.72185,0.52041,0.60480,2
ROUGE-2,STATE1,SYSTEM.TXT,0.27461,0.32051,0.29579,2
ROUGE-2,STATE75,SYSTEM.TXT,0.81652,0.75373,0.78387,2
ROUGE-2,STATE74,SYSTEM.TXT,0.66636,0.51961,0.58391,2
ROUGE-2,STATE7,SYSTEM.TXT,0.71709,0.64646,0.67995,2
ROUGE-2,STATE71,SYSTEM.TXT,0.71562,0.61940,0.66404,2
ROUGE-2,CINEMA69,SYSTEM.TXT,0.68641,0.74405,0.71407,2
ROUGE-2,STATE9,SYSTEM.TXT,0.74275,0.68056,0.71029,2
ROUGE-2,STATE0,SYSTEM.TXT,0.31691,0.36325,0.33850,2
ROUGE-2,STATE87,SYSTEM.TXT,0.68322,0.62389,0.65221,2
ROUGE-2,STATE88,SYSTEM.TXT,0.37551,0.37037,0.37292,2
ROUGE-2,CINEMA31,SYSTEM.TXT,0.68053,0.67727,0.67890,2
ROUGE-2,CINEMA37,SYSTEM.TXT,0.68330,0.70690,0.69490,2
ROUGE-2,CINEMA32,SYSTEM.TXT,0.89170,0.90984,0.90067,2
ROUGE-2,STATE83,SYSTEM.TXT,0.77650,0.59953,0.67663,2
ROUGE-2,CINEMA34,SYSTEM.TXT,0.67500,0.68182,0.67839,2
